,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3708660,1053035,13571,62902,100401,33996,11968,7214,11544,1347835,74945,35275,504966,157111,29480,120864,106693
Total_people_one_dose,2350701,683839,8003,40535,59487,20550,7440,4137,7428,850440,50648,22559,328275,98530,19131,75609,74090
Total_people_complete,1471750,,,,,,,,,,,,,,,,
Total_doses_ordered,3629070,,,,,,,,,,,,,,,,
65 years and older,532909,,,,,,,,,,,,,,,,
55-64 years,249769,,,,,,,,,,,,,,,,
45-54 years,159814,,,,,,,,,,,,,,,,
20-44 years,330956,,,,,,,,,,,,,,,,
Less than 20 years,28047,,,,,,,,,,,,,,,,
65 years and older,19131,,,,,,,,,,,,,,,,
55-64 years,201713,,,,,,,,,,,,,,,,
45-54 years,128732,,,,,,,,,,,,,,,,
20-44 years,263122,,,,,,,,,,,,,,,,
Less than 20 years,22556,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",47121,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",59294,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",79022,,,,,,,,,,,,,,,,
Hispanic or Latino,256101,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",322682,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",423268,,,,,,,,,,,,,,,,
"White, non-Hispanic",1163779,,,,,,,,,,,,,,,,
