,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4495519,1292527,15269,77127,112108,37818,13828,7742,13599,1644679,95070,40350,608610,188808,37855,141514,123257
Total_people_one_dose,2736235,779504,8876,48257,64958,22195,8427,4407,8150,1024293,61415,24573,376613,117025,24093,85339,78110
Total_people_complete,1926181,,,,,,,,,,,,,,,,
Total_doses_ordered,4335320,,,,,,,,,,,,,,,,
65 years and older,562066,,,,,,,,,,,,,,,,
55-64 years,276402,,,,,,,,,,,,,,,,
45-54 years,196546,,,,,,,,,,,,,,,,
20-44 years,410382,,,,,,,,,,,,,,,,
Less than 20 years,42582,,,,,,,,,,,,,,,,
65 years and older,78110,,,,,,,,,,,,,,,,
55-64 years,227556,,,,,,,,,,,,,,,,
45-54 years,167366,,,,,,,,,,,,,,,,
20-44 years,356421,,,,,,,,,,,,,,,,
Less than 20 years,36157,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",59344,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",65466,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",98694,,,,,,,,,,,,,,,,
Hispanic or Latino,334861,,,,,,,,,,,,,,,,
Unknown,374540,,,,,,,,,,,,,,,,
Other Race,473871,,,,,,,,,,,,,,,,
"White, non-Hispanic",1329459,,,,,,,,,,,,,,,,
