Category,Mohave
Total_doses_administered,95070
Total_people_one_dose,61415
Total_people_complete,36967
Total_doses_ordered,110600
total_pouluation,216985
Male-65 years and older,17342
Male-55-64 years,5296
Male-45-54 years,2275
Male-20-44 years,3450
Male-Less than 20 years,183
Female-65 years and older,19642
Female-55-64 years,6800
Female-45-54 years,2659
Female-20-44 years,3515
Female-Less than 20 years,210
"Black or African American, non-Hispanic",0.0052918668077831
"American Indian or Alaska Native, non-Hispanic",0.0060897174957258
"Asian or Pacific Islander, non-Hispanic",0.0125539363347716
Hispanic or Latino,0.0481804119514777
Other Race,0.1650411137344297
Unknown,0.2341447529105268
"White, non-Hispanic",0.5286982007652854
