,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4263596,1212714,14933,72115,109304,36912,13501,7601,12920,1559759,88469,39179,586954,178636,35173,135066,115382
Total_people_one_dose,2632267,755494,8703,46326,63863,22035,8273,4303,8091,979267,58451,24225,366633,110778,22974,82986,75346
Total_people_complete,1775554,,,,,,,,,,,,,,,,
Total_doses_ordered,3967370,,,,,,,,,,,,,,,,
65 years and older,555298,,,,,,,,,,,,,,,,
55-64 years,269212,,,,,,,,,,,,,,,,
45-54 years,186678,,,,,,,,,,,,,,,,
20-44 years,388614,,,,,,,,,,,,,,,,
Less than 20 years,38346,,,,,,,,,,,,,,,,
65 years and older,82986,,,,,,,,,,,,,,,,
55-64 years,220564,,,,,,,,,,,,,,,,
45-54 years,156615,,,,,,,,,,,,,,,,
20-44 years,329433,,,,,,,,,,,,,,,,
Less than 20 years,32293,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",55971,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",63916,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",93116,,,,,,,,,,,,,,,,
Hispanic or Latino,314352,,,,,,,,,,,,,,,,
Unknown,361215,,,,,,,,,,,,,,,,
Other Race,458974,,,,,,,,,,,,,,,,
"White, non-Hispanic",1284723,,,,,,,,,,,,,,,,
