Category,Navajo
Total_doses_administered,29827
Total_people_one_dose,19417
Total_people_complete,10996
Total_doses_administered,29827
Total_people_one_dose,19417
Total_people_complete,10996
Total_doses_ordered,28400
Male-65 years and older,4432
Male-55-64 years,1738
Male-45-54 years,956
Male-20-44 years,1573
Male-Less than 20 years,479
Female-65 years and older,4828
Female-55-64 years,2017
Female-45-54 years,1177
Female-20-44 years,1737
Female-Less than 20 years,509
"Black or African American, non-Hispanic",0.0046329661278699
"Asian or Pacific Islander, non-Hispanic",0.0079275198187995
Hispanic or Latino,0.0467414804900649
"Unknown, non-Hispanic",0.0806650880263564
"Other Race, non-Hispanic",0.2211983939050757
"American Indian or Alaska Native, non-Hispanic",0.2425100380932771
"White, non-Hispanic",0.3963245135385566
