,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2940466,113980,12143,48901,82407,25648,9668,6688,9727,1703127,57502,29827,471853,125496,23170,105618,79056
Total_people_one_dose,1924024,113522,7250,32901,50425,16348,5900,3816,6117,1116574,39312,19417,300166,80955,14615,63057,53649
Total_people_complete,1220197,,,,,,,,,,,,,,,,
Total_doses_ordered,2819270,,,,,,,,,,,,,,,,
65 years and older,518665,,,,,,,,,,,,,,,,
55-64 years,211741,,,,,,,,,,,,,,,,
45-54 years,114481,,,,,,,,,,,,,,,,
20-44 years,234548,,,,,,,,,,,,,,,,
Less than 20 years,10302,,,,,,,,,,,,,,,,
65 years and older,19417,,,,,,,,,,,,,,,,
55-64 years,163982,,,,,,,,,,,,,,,,
45-54 years,81091,,,,,,,,,,,,,,,,
20-44 years,158318,,,,,,,,,,,,,,,,
Less than 20 years,6940,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",34751,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",49808,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",53692,,,,,,,,,,,,,,,,
Hispanic or Latino,178447,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",269519,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",370139,,,,,,,,,,,,,,,,
"White, non-Hispanic",967762,,,,,,,,,,,,,,,,
