Category,Santa Cruz
Total_doses_administered,130733
Total_people_one_dose,66347
Total_people_complete,50349
total_pouluation,66347
Male-65 years and older,4823
Male-55-64 years,3551
Male-45-54 years,3816
Male-20-44 years,10077
Male-Less than 20 years,9566
Female-65 years and older,5883
Female-55-64 years,4001
Female-45-54 years,4227
Female-20-44 years,10816
Female-Less than 20 years,9466
"American Indian or Alaska Native, non-Hispanic",56
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",189
Other Race,3683
Unknown,6672
"White, non-Hispanic",7675
Hispanic or Latino,48011
