Category,Mohave
Total_doses_administered,202946
Total_people_one_dose,94995
Total_people_complete,80267
total_pouluation,94995
Male-65 years and older,21938
Male-55-64 years,8577
Male-45-54 years,4513
Male-20-44 years,8087
Male-Less than 20 years,2091
Female-65 years and older,23952
Female-55-64 years,9942
Female-45-54 years,5057
Female-20-44 years,8338
Female-Less than 20 years,2319
"Black or African American, non-Hispanic",676
"American Indian or Alaska Native, non-Hispanic",796
"Asian or Pacific Islander, non-Hispanic",1476
Hispanic or Latino,7921
Unknown,11725
Other Race,14871
"White, non-Hispanic",57530
