Category,Arizona
Total_doses_administered,7561381
Total_people_complete,3643867
Total_doses_ordered,5348107
total_pouluation,7189020
Total_people_one_dose,4119160
Male-65 years and older,529787
Male-55-64 years,306553
Male-45-54 years,270895
Male-20-44 years,650432
Male-Less than 20 years,174186
Female-65 years and older,652649
Female-55-64 years,352208
Female-45-54 years,295634
Female-20-44 years,684863
Female-Less than 20 years,182321
"Black or African American, non-Hispanic",114379
"American Indian or Alaska Native, non-Hispanic",123470
"Asian or Pacific Islander, non-Hispanic",152924
Unknown,441984
Other Race,690066
Hispanic or Latino,709471
"White, non-Hispanic",1886866
