Category,Santa Cruz
Total_doses_administered,73163
Total_people_one_dose,40669
Total_people_complete,36650
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3660
Male-55-64 years,2682
Male-45-54 years,3133
Male-20-44 years,8045
Male-Less than 20 years,2754
Female-65 years and older,4433
Female-55-64 years,2713
Female-45-54 years,2973
Female-20-44 years,7429
Female-Less than 20 years,2777
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",100
Other Race,2071
Unknown,2375
"White, non-Hispanic",4921
Hispanic or Latino,31148
