Category,Yavapai
Total_doses_administered,197238
Total_people_one_dose,112614
Total_people_complete,94748
Total_doses_ordered,173670
total_pouluation,232386
Male-65 years and older,24420
Male-55-64 years,8755
Male-45-54 years,5176
Male-20-44 years,10217
Male-Less than 20 years,2220
Female-65 years and older,30461
Female-55-64 years,11183
Female-45-54 years,6026
Female-20-44 years,10367
Female-Less than 20 years,2475
"Black or African American, non-Hispanic",627
"American Indian or Alaska Native, non-Hispanic",1161
"Asian or Pacific Islander, non-Hispanic",1473
Hispanic or Latino,7270
Other Race,17315
Unknown,27701
"White, non-Hispanic",57067
