Category,Gila
Total_doses_administered,55631
Total_people_one_dose,30269
Total_people_complete,26838
Total_doses_ordered,37760
total_pouluation,55159
Male-65 years and older,5999
Male-55-64 years,2691
Male-45-54 years,1680
Male-20-44 years,3376
Male-Less than 20 years,852
Female-65 years and older,6357
Female-55-64 years,3002
Female-45-54 years,1770
Female-20-44 years,3509
Female-Less than 20 years,971
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1400
Other Race,5007
Unknown,5534
"American Indian or Alaska Native, non-Hispanic",6206
"White, non-Hispanic",11761
