Category,Navajo
Total_doses_administered,80223
Total_people_one_dose,45030
Total_people_complete,38224
Total_doses_ordered,44300
total_pouluation,112825
Male-65 years and older,7118
Male-55-64 years,3695
Male-45-54 years,2652
Male-20-44 years,5586
Male-Less than 20 years,3206
Female-65 years and older,7817
Female-55-64 years,3952
Female-45-54 years,2645
Female-20-44 years,4988
Female-Less than 20 years,3335
"Black or African American, non-Hispanic",230
"Asian or Pacific Islander, non-Hispanic",426
Unknown,2305
Hispanic or Latino,2353
Other Race,8518
"White, non-Hispanic",15216
"American Indian or Alaska Native, non-Hispanic",15982
