Category,Mohave
Total_doses_administered,164112
Total_people_one_dose,93505
Total_people_complete,78250
Total_doses_ordered,134660
total_pouluation,216985
Male-65 years and older,22133
Male-55-64 years,8758
Male-45-54 years,4590
Male-20-44 years,7780
Male-Less than 20 years,1489
Female-65 years and older,24679
Female-55-64 years,10171
Female-45-54 years,4902
Female-20-44 years,7239
Female-Less than 20 years,1601
"Black or African American, non-Hispanic",669
"American Indian or Alaska Native, non-Hispanic",976
"Asian or Pacific Islander, non-Hispanic",1354
Hispanic or Latino,6811
Unknown,15933
Other Race,16293
"White, non-Hispanic",51469
