Category,Coconino
Total_doses_administered,161605
Total_people_one_dose,88624
Total_people_complete,79543
Total_doses_ordered,99988
total_pouluation,147275
Male-65 years and older,8005
Male-55-64 years,6221
Male-45-54 years,5651
Male-20-44 years,17675
Male-Less than 20 years,4241
Female-65 years and older,9095
Female-55-64 years,6896
Female-45-54 years,5754
Female-20-44 years,20058
Female-Less than 20 years,4910
"Black or African American, non-Hispanic",710
"Asian or Pacific Islander, non-Hispanic",1434
Hispanic or Latino,6573
Other Race,10228
Unknown,17146
"American Indian or Alaska Native, non-Hispanic",18052
"White, non-Hispanic",34481
