Category,Maricopa
Total_doses_administered,3254292
Total_people_one_dose,1845381
Total_people_complete,1606117
Total_doses_ordered,1670401
total_pouluation,4367835
Male-65 years and older,187592
Male-55-64 years,132427
Male-45-54 years,133638
Male-20-44 years,315876
Male-Less than 20 years,88886
Female-65 years and older,242433
Female-55-64 years,152299
Female-45-54 years,147448
Female-20-44 years,341690
Female-Less than 20 years,91212
"American Indian or Alaska Native, non-Hispanic",39790
"Black or African American, non-Hispanic",72271
"Asian or Pacific Islander, non-Hispanic",84321
Unknown,181431
Other Race,282197
Hispanic or Latino,343661
"White, non-Hispanic",841710
