,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2691126,695676,11730,44918,77302,24720,9087,6543,8949,1012188,51261,27986,377391,116334,21415,100553,69519
Total_people_one_dose,1692112,453493,6970,29537,47876,15913,5611,3717,5832,642378,34608,18224,235558,74899,13003,58750,45743
Total_people_complete,1051665,,,,,,,,,,,,,,,,
Total_doses_ordered,2501430,,,,,,,,,,,,,,,,
65 years and older,474223,,,,,,,,,,,,,,,,
55-64 years,177985,,,,,,,,,,,,,,,,
45-54 years,98853,,,,,,,,,,,,,,,,
20-44 years,205974,,,,,,,,,,,,,,,,
Less than 20 years,8619,,,,,,,,,,,,,,,,
65 years and older,642378,,,,,,,,,,,,,,,,
55-64 years,133970,,,,,,,,,,,,,,,,
45-54 years,67382,,,,,,,,,,,,,,,,
20-44 years,133818,,,,,,,,,,,,,,,,
Less than 20 years,5711,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",29079,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",44730,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",46973,,,,,,,,,,,,,,,,
Hispanic or Latino,152736,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",268987,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",315094,,,,,,,,,,,,,,,,
"White, non-Hispanic",834611,,,,,,,,,,,,,,,,
