,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5269181,1503274,16205,90499,124245,44950,16966,7969,15484,1951627,115088,44560,711847,221073,48190,159802,148203
Total_people_one_dose,3018728,830100,9238,52360,68157,24989,9530,4542,8663,1170731,68570,26236,409590,130389,27703,92594,85336
Total_people_complete,2441315,,,,,,,,,,,,,,,,
Total_doses_ordered,4896780,,,,,,,,,,,,,,,,
65 years and older,582904,,,,,,,,,,,,,,,,
55-64 years,296336,,,,,,,,,,,,,,,,
45-54 years,222471,,,,,,,,,,,,,,,,
20-44 years,470078,,,,,,,,,,,,,,,,
Less than 20 years,54315,,,,,,,,,,,,,,,,
65 years and older,4542,,,,,,,,,,,,,,,,
55-64 years,248364,,,,,,,,,,,,,,,,
45-54 years,194681,,,,,,,,,,,,,,,,
20-44 years,423992,,,,,,,,,,,,,,,,
Less than 20 years,46963,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",68754,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",72456,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",111803,,,,,,,,,,,,,,,,
Hispanic or Latino,395867,,,,,,,,,,,,,,,,
Unknown,411149,,,,,,,,,,,,,,,,
Other Race,512864,,,,,,,,,,,,,,,,
"White, non-Hispanic",1445835,,,,,,,,,,,,,,,,
