Category,La Paz
Total_doses_administered,15484
Total_people_one_dose,8663
Total_people_complete,7281
Total_doses_ordered,18900
total_pouluation,22085
Male-65 years and older,2955
Male-55-64 years,608
Male-45-54 years,266
Male-20-44 years,401
Male-Less than 20 years,47
Female-65 years and older,2861
Female-55-64 years,779
Female-45-54 years,297
Female-20-44 years,381
Female-Less than 20 years,54
"Black or African American, non-Hispanic",0.0023086690522914
"Asian or Pacific Islander, non-Hispanic",0.0049636384624264
"American Indian or Alaska Native, non-Hispanic",0.010158143830082
Other Race,0.0116587787140713
Hispanic or Latino,0.0939628304282581
Unknown,0.3898187694793952
"White, non-Hispanic",0.4871291700334758
