Category,Yavapai
Total_doses_administered,238662
Total_people_one_dose,116007
Total_people_complete,98064
total_pouluation,116007
Male-65 years and older,25640
Male-55-64 years,9107
Male-45-54 years,4989
Male-20-44 years,10072
Male-Less than 20 years,2820
Female-65 years and older,31330
Female-55-64 years,11543
Female-45-54 years,5961
Female-20-44 years,10317
Female-Less than 20 years,3080
"Black or African American, non-Hispanic",547
"Asian or Pacific Islander, non-Hispanic",1402
"American Indian or Alaska Native, non-Hispanic",1413
Hispanic or Latino,7932
Other Race,17081
Unknown,19187
"White, non-Hispanic",68445
