Category,Santa Cruz
Total_doses_administered,105854
Total_people_one_dose,55031
Total_people_complete,43961
total_pouluation,55031
Male-65 years and older,4658
Male-55-64 years,3242
Male-45-54 years,3378
Male-20-44 years,8961
Male-Less than 20 years,6098
Female-65 years and older,5632
Female-55-64 years,3530
Female-45-54 years,3651
Female-20-44 years,9266
Female-Less than 20 years,6532
"Black or African American, non-Hispanic",57
"American Indian or Alaska Native, non-Hispanic",57
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3470
Unknown,3724
"White, non-Hispanic",7458
Hispanic or Latino,40081
