Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9336816,58393,197024,157264,42561,8992,54492,17426,5415652,178967,96892,501110,1512074,105854,238662,301246
Total_people_complete,450207,22427,81264,66199,18389,3730,22792,7458,2288884,75649,40194,218196,623894,43961,98064,125911
total_pouluation,7189020,28708,93358,79329,20834,4306,25839,8779,2611301,88906,48327,248277,717049,55031,116007,153468
Total_people_one_dose,4568237,28708,93358,79329,20834,4306,25839,8779,2611301,88906,48327,248277,717049,55031,116007,153468
Male-65 years and older,559789,2763,9335,11112,2381,511,5772,2372,283209,20594,7258,36450,91090,4658,25640,16015
Male-55-64 years,325624,2007,6297,5426,1575,368,2218,603,187006,8159,3548,18194,47710,3242,9107,10277
Male-45-54 years,293865,1608,5737,4256,1435,323,1247,319,181350,4227,2667,16658,41035,3378,4989,9109
Male-20-44 years,728009,3782,16954,11413,3541,781,2376,660,432965,7391,5698,37979,109869,8961,10072,27659
Male-Less than 20 years,251046,3868,5866,5131,1098,207,688,358,141662,1719,4210,11996,41441,6098,2820,11866
Female-65 years and older,682070,3319,10522,13037,2890,511,6168,2409,354180,22838,8197,42008,117244,5632,31330,18541
Female-55-64 years,370912,2152,7088,6463,1715,316,2598,725,210581,9487,4070,20517,57182,3530,11543,10969
Female-45-54 years,317108,1578,5825,4784,1414,325,1392,367,196827,4797,2682,16947,46605,3651,5961,10022
Female-20-44 years,761645,3698,19349,12102,3573,752,2556,589,464140,7583,5616,34908,120777,9266,10317,26120
Female-Less than 20 years,258336,3925,6122,5504,1200,210,766,359,144936,1934,4345,11872,42636,6532,3080,12326
"Black or African American, non-Hispanic",137514,59,769,1541,92,51,89,38,100630,599,202,9037,16165,57,547,818
"Asian or Pacific Islander, non-Hispanic",173679,129,1585,1451,84,43,204,89,131684,1336,352,5062,21548,184,1402,1186
"American Indian or Alaska Native, non-Hispanic",194375,22116,22230,352,5167,117,2637,514,50919,725,21019,9561,14930,57,1413,1148
Unknown,415947,1101,12736,9279,4055,309,4570,1807,173935,11422,2233,29311,65922,3724,19187,28633
Other Race,658938,1123,8565,11763,1297,88,4120,1155,424235,14273,6249,30800,89918,3470,17081,18227
Hispanic or Latino,841776,564,6985,22202,3733,1937,1417,1304,435262,7031,2431,39977,171819,40081,7932,69789
"White, non-Hispanic",2146008,3616,40488,32741,6406,1761,12802,3872,1294636,53520,15841,124529,336747,7458,68445,33667
