Category,Arizona
Total_doses_administered,9336816
Total_people_complete,450207
total_pouluation,7189020
Total_people_one_dose,4568237
Male-65 years and older,559789
Male-55-64 years,325624
Male-45-54 years,293865
Male-20-44 years,728009
Male-Less than 20 years,251046
Female-65 years and older,682070
Female-55-64 years,370912
Female-45-54 years,317108
Female-20-44 years,761645
Female-Less than 20 years,258336
"Black or African American, non-Hispanic",137514
"Asian or Pacific Islander, non-Hispanic",173679
"American Indian or Alaska Native, non-Hispanic",194375
Unknown,415947
Other Race,658938
Hispanic or Latino,841776
"White, non-Hispanic",2146008
