Category,La Paz
Total_doses_administered,17426
Total_people_one_dose,8779
Total_people_complete,7458
total_pouluation,8779
Male-65 years and older,2372
Male-55-64 years,603
Male-45-54 years,319
Male-20-44 years,660
Male-Less than 20 years,358
Female-65 years and older,2409
Female-55-64 years,725
Female-45-54 years,367
Female-20-44 years,589
Female-Less than 20 years,359
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",514
Other Race,1155
Hispanic or Latino,1304
Unknown,1807
"White, non-Hispanic",3872
