Category,Coconino
Total_doses_administered,197024
Total_people_one_dose,93358
Total_people_complete,81264
total_pouluation,93358
Male-65 years and older,9335
Male-55-64 years,6297
Male-45-54 years,5737
Male-20-44 years,16954
Male-Less than 20 years,5866
Female-65 years and older,10522
Female-55-64 years,7088
Female-45-54 years,5825
Female-20-44 years,19349
Female-Less than 20 years,6122
"Black or African American, non-Hispanic",769
"Asian or Pacific Islander, non-Hispanic",1585
Hispanic or Latino,6985
Other Race,8565
Unknown,12736
"American Indian or Alaska Native, non-Hispanic",22230
"White, non-Hispanic",40488
