Category,Apache
Total_doses_administered,58393
Total_people_one_dose,28708
Total_people_complete,22427
total_pouluation,28708
Male-65 years and older,2763
Male-55-64 years,2007
Male-45-54 years,1608
Male-20-44 years,3782
Male-Less than 20 years,3868
Female-65 years and older,3319
Female-55-64 years,2152
Female-45-54 years,1578
Female-20-44 years,3698
Female-Less than 20 years,3925
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",129
Hispanic or Latino,564
Unknown,1101
Other Race,1123
"White, non-Hispanic",3616
"American Indian or Alaska Native, non-Hispanic",22116
