Category,Coconino
Total_doses_administered,155994
Total_people_one_dose,85527
Total_people_complete,76849
Total_doses_ordered,109424
total_pouluation,147275
Male-65 years and older,7990
Male-55-64 years,6155
Male-45-54 years,5594
Male-20-44 years,17071
Male-Less than 20 years,3404
Female-65 years and older,9065
Female-55-64 years,6865
Female-45-54 years,5696
Female-20-44 years,19516
Female-Less than 20 years,4083
"Black or African American, non-Hispanic",641
"Asian or Pacific Islander, non-Hispanic",1302
Hispanic or Latino,6275
Other Race,9838
Unknown,17105
"American Indian or Alaska Native, non-Hispanic",17913
"White, non-Hispanic",32453
