Category,Yavapai
Total_doses_administered,197399
Total_people_one_dose,112696
Total_people_complete,94833
Total_doses_ordered,174926
total_pouluation,232386
Male-65 years and older,24429
Male-55-64 years,8762
Male-45-54 years,5180
Male-20-44 years,10233
Male-Less than 20 years,2227
Female-65 years and older,30469
Female-55-64 years,11188
Female-45-54 years,6035
Female-20-44 years,10379
Female-Less than 20 years,2480
"Black or African American, non-Hispanic",627
"American Indian or Alaska Native, non-Hispanic",1162
"Asian or Pacific Islander, non-Hispanic",1474
Hispanic or Latino,7284
Other Race,17334
Unknown,27696
"White, non-Hispanic",57119
