Category,Santa Cruz
Total_doses_administered,73181
Total_people_one_dose,40681
Total_people_complete,36658
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3662
Male-55-64 years,2680
Male-45-54 years,3133
Male-20-44 years,8047
Male-Less than 20 years,2756
Female-65 years and older,4434
Female-55-64 years,2714
Female-45-54 years,2975
Female-20-44 years,7434
Female-Less than 20 years,2776
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",100
Other Race,2073
Unknown,2375
"White, non-Hispanic",4922
Hispanic or Latino,31157
