Category,La Paz
Total_doses_administered,18214
Total_people_one_dose,10042
Total_people_complete,8946
Total_doses_ordered,19400
total_pouluation,22085
Male-65 years and older,3185
Male-55-64 years,701
Male-45-54 years,345
Male-20-44 years,603
Male-Less than 20 years,174
Female-65 years and older,3085
Female-55-64 years,863
Female-45-54 years,368
Female-20-44 years,512
Female-Less than 20 years,184
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",239
Hispanic or Latino,1112
Other Race,1157
Unknown,2674
"White, non-Hispanic",4747
