Category,Maricopa
Total_doses_administered,3260368
Total_people_one_dose,1848855
Total_people_complete,1609340
Total_doses_ordered,1689183
total_pouluation,4367835
Male-65 years and older,187782
Male-55-64 years,132575
Male-45-54 years,133911
Male-20-44 years,316630
Male-Less than 20 years,89232
Female-65 years and older,242647
Female-55-64 years,152481
Female-45-54 years,147693
Female-20-44 years,342495
Female-Less than 20 years,91527
"American Indian or Alaska Native, non-Hispanic",39833
"Black or African American, non-Hispanic",72520
"Asian or Pacific Islander, non-Hispanic",84438
Unknown,181510
Other Race,282652
Hispanic or Latino,344696
"White, non-Hispanic",843206
