Category,Navajo
Total_doses_administered,80267
Total_people_one_dose,45043
Total_people_complete,38258
Total_doses_ordered,44400
total_pouluation,112825
Male-65 years and older,7121
Male-55-64 years,3698
Male-45-54 years,2652
Male-20-44 years,5587
Male-Less than 20 years,3206
Female-65 years and older,7818
Female-55-64 years,3956
Female-45-54 years,2644
Female-20-44 years,4990
Female-Less than 20 years,3335
"Black or African American, non-Hispanic",231
"Asian or Pacific Islander, non-Hispanic",427
Unknown,2309
Hispanic or Latino,2354
Other Race,8519
"White, non-Hispanic",15220
"American Indian or Alaska Native, non-Hispanic",15983
