Category,Graham
Total_doses_administered,41217
Total_people_one_dose,20499
Total_people_complete,18254
total_pouluation,20499
Male-65 years and older,2362
Male-55-64 years,1559
Male-45-54 years,1418
Male-20-44 years,3509
Male-Less than 20 years,1031
Female-65 years and older,2864
Female-55-64 years,1701
Female-45-54 years,1390
Female-20-44 years,3529
Female-Less than 20 years,1124
"Asian or Pacific Islander, non-Hispanic",82
"Black or African American, non-Hispanic",88
Other Race,1279
Hispanic or Latino,3630
Unknown,4007
"American Indian or Alaska Native, non-Hispanic",5091
"White, non-Hispanic",6322
