Category,Mohave
Total_doses_administered,174143
Total_people_one_dose,87882
Total_people_complete,75090
total_pouluation,87882
Male-65 years and older,20335
Male-55-64 years,8057
Male-45-54 years,4183
Male-20-44 years,7299
Male-Less than 20 years,1684
Female-65 years and older,22628
Female-55-64 years,9399
Female-45-54 years,4745
Female-20-44 years,7486
Female-Less than 20 years,1890
"Black or African American, non-Hispanic",589
"American Indian or Alaska Native, non-Hispanic",709
"Asian or Pacific Islander, non-Hispanic",1315
Hispanic or Latino,6881
Unknown,11414
Other Race,14150
"White, non-Hispanic",52824
