Category,Greenlee
Total_doses_administered,8706
Total_people_one_dose,4225
Total_people_complete,3699
total_pouluation,4225
Male-65 years and older,507
Male-55-64 years,368
Male-45-54 years,322
Male-20-44 years,768
Male-Less than 20 years,186
Female-65 years and older,508
Female-55-64 years,316
Female-45-54 years,320
Female-20-44 years,741
Female-Less than 20 years,187
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",50
Other Race,84
"American Indian or Alaska Native, non-Hispanic",113
Unknown,295
"White, non-Hispanic",1744
Hispanic or Latino,1896
