Category,Yavapai
Total_doses_administered,231985
Total_people_one_dose,114755
Total_people_complete,97248
total_pouluation,114755
Male-65 years and older,25389
Male-55-64 years,9003
Male-45-54 years,4934
Male-20-44 years,9972
Male-Less than 20 years,2722
Female-65 years and older,31108
Female-55-64 years,11416
Female-45-54 years,5893
Female-20-44 years,10174
Female-Less than 20 years,2996
"Black or African American, non-Hispanic",532
"Asian or Pacific Islander, non-Hispanic",1383
"American Indian or Alaska Native, non-Hispanic",1393
Hispanic or Latino,7803
Other Race,16902
Unknown,19312
"White, non-Hispanic",67430
