Category,Maricopa
Total_doses_administered,5276295
Total_people_one_dose,2581817
Total_people_complete,2276855
total_pouluation,2581817
Male-65 years and older,281358
Male-55-64 years,185676
Male-45-54 years,179970
Male-20-44 years,429009
Male-Less than 20 years,135856
Female-65 years and older,351993
Female-55-64 years,209126
Female-45-54 years,195403
Female-20-44 years,459846
Female-Less than 20 years,139142
"American Indian or Alaska Native, non-Hispanic",49981
"Black or African American, non-Hispanic",99249
"Asian or Pacific Islander, non-Hispanic",129684
Unknown,171085
Other Race,421160
Hispanic or Latino,427685
"White, non-Hispanic",1282973
