Category,Santa Cruz
Total_doses_administered,103096
Total_people_one_dose,53878
Total_people_complete,43586
total_pouluation,53878
Male-65 years and older,4608
Male-55-64 years,3201
Male-45-54 years,3341
Male-20-44 years,8887
Male-Less than 20 years,5778
Female-65 years and older,5567
Female-55-64 years,3476
Female-45-54 years,3603
Female-20-44 years,9152
Female-Less than 20 years,6184
"Black or African American, non-Hispanic",55
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3420
Unknown,3559
"White, non-Hispanic",7372
Hispanic or Latino,39232
