Category,La Paz
Total_doses_administered,16866
Total_people_one_dose,8586
Total_people_complete,7419
total_pouluation,8586
Male-65 years and older,2339
Male-55-64 years,591
Male-45-54 years,319
Male-20-44 years,650
Male-Less than 20 years,319
Female-65 years and older,2370
Female-55-64 years,711
Female-45-54 years,363
Female-20-44 years,578
Female-Less than 20 years,328
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",88
"American Indian or Alaska Native, non-Hispanic",489
Other Race,1132
Hispanic or Latino,1263
Unknown,1773
"White, non-Hispanic",3803
