Category,Coconino
Total_doses_administered,190794
Total_people_one_dose,92140
Total_people_complete,80823
total_pouluation,92140
Male-65 years and older,9265
Male-55-64 years,6239
Male-45-54 years,5687
Male-20-44 years,16797
Male-Less than 20 years,5591
Female-65 years and older,10464
Female-55-64 years,7037
Female-45-54 years,5787
Female-20-44 years,19138
Female-Less than 20 years,5872
"Black or African American, non-Hispanic",761
"Asian or Pacific Islander, non-Hispanic",1546
Hispanic or Latino,6858
Other Race,8462
Unknown,12836
"American Indian or Alaska Native, non-Hispanic",21841
"White, non-Hispanic",39836
