Category,Navajo
Total_doses_administered,94171
Total_people_one_dose,47405
Total_people_complete,39938
total_pouluation,47405
Male-65 years and older,7206
Male-55-64 years,3517
Male-45-54 years,2641
Male-20-44 years,5638
Male-Less than 20 years,3946
Female-65 years and older,8136
Female-55-64 years,4051
Female-45-54 years,2649
Female-20-44 years,5538
Female-Less than 20 years,4048
"Black or African American, non-Hispanic",200
"Asian or Pacific Islander, non-Hispanic",343
Unknown,2171
Hispanic or Latino,2389
Other Race,6185
"White, non-Hispanic",15729
"American Indian or Alaska Native, non-Hispanic",20388
