,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1552911,356586,7555,23144,44455,13236,5772,4122,4313,627535,25925,18617,236720,64865,11398,51973,33627
Total_people_one_dose,1114425,268367,5351,17226,32612,10084,3998,3125,3827,441290,19679,13480,168105,47288,8955,44871,26167
Total_people_complete,438534,99049,,,,,,,,,,,,,,,
Total_doses_ordered,1610310,411412,,,,,,,,,,,,,,,
65 years and older,332275,96380,,,,,,,,,,,,,,,
55-64 years,80538,14545,,,,,,,,,,,,,,,
45-54 years,74330,12134,,,,,,,,,,,,,,,
20-44 years,156386,24843,,,,,,,,,,,,,,,
Less than 20 years,5033,841,,,,,,,,,,,,,,,
65 years and older,269764,83581,,,,,,,,,,,,,,,
55-64 years,49994,9444,,,,,,,,,,,,,,,
45-54 years,47146,8665,,,,,,,,,,,,,,,
20-44 years,92667,16250,,,,,,,,,,,,,,,
Less than 20 years,3144,550,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2529,499,,,,,,,,,,,,,,,
Black or African American,16830,1270,,,,,,,,,,,,,,,
Asian,25289,3783,,,,,,,,,,,,,,,
American Indian or Alaska Native,34082,6792,,,,,,,,,,,,,,,
Hispanic or Latino,89430,10223,,,,,,,,,,,,,,,
Other Race/Unknown,399566,79901,,,,,,,,,,,,,,,
White,547367,165948,,,,,,,,,,,,,,,
