Category,Graham
Total_doses_administered,42902
Total_people_one_dose,19301
Total_people_complete,17258
total_pouluation,19301
Male-65 years and older,2004
Male-55-64 years,1367
Male-45-54 years,1318
Male-20-44 years,3279
Male-Less than 20 years,1314
Female-65 years and older,2483
Female-55-64 years,1514
Female-45-54 years,1247
Female-20-44 years,3324
Female-Less than 20 years,1440
"Asian or Pacific Islander, non-Hispanic",67
"Black or African American, non-Hispanic",84
Other Race,869
Hispanic or Latino,2878
Unknown,3819
"White, non-Hispanic",5708
"American Indian or Alaska Native, non-Hispanic",5876
