Category,Navajo
Total_doses_administered,122046
Total_people_one_dose,55704
Total_people_complete,47575
total_pouluation,55704
Male-65 years and older,7791
Male-55-64 years,3932
Male-45-54 years,3015
Male-20-44 years,6861
Male-Less than 20 years,5479
Female-65 years and older,8840
Female-55-64 years,4452
Female-45-54 years,3046
Female-20-44 years,6724
Female-Less than 20 years,5525
"Black or African American, non-Hispanic",232
"Asian or Pacific Islander, non-Hispanic",421
Unknown,2611
Hispanic or Latino,2856
Other Race,6545
"White, non-Hispanic",16703
"American Indian or Alaska Native, non-Hispanic",26336
