Category,Yuma
Total_doses_administered,361252
Total_people_one_dose,175248
Total_people_complete,141623
total_pouluation,175248
Male-65 years and older,18211
Male-55-64 years,11350
Male-45-54 years,9906
Male-20-44 years,31125
Male-Less than 20 years,15338
Female-65 years and older,20784
Female-55-64 years,12159
Female-45-54 years,10865
Female-20-44 years,28999
Female-Less than 20 years,15792
"Black or African American, non-Hispanic",921
"American Indian or Alaska Native, non-Hispanic",1270
"Asian or Pacific Islander, non-Hispanic",1291
Other Race,21521
Unknown,31009
"White, non-Hispanic",38034
Hispanic or Latino,81202
