Category,Apache
Total_doses_administered,79224
Total_people_one_dose,35095
Total_people_complete,30288
total_pouluation,35095
Male-65 years and older,3145
Male-55-64 years,2344
Male-45-54 years,1917
Male-20-44 years,4850
Male-Less than 20 years,4816
Female-65 years and older,3809
Female-55-64 years,2550
Female-45-54 years,1967
Female-20-44 years,4767
Female-Less than 20 years,4919
"Black or African American, non-Hispanic",71
"Asian or Pacific Islander, non-Hispanic",166
Hispanic or Latino,667
Unknown,1230
Other Race,1250
"White, non-Hispanic",3941
"American Indian or Alaska Native, non-Hispanic",27770
