Category,Yavapai
Total_doses_administered,285519
Total_people_one_dose,129300
Total_people_complete,110190
total_pouluation,129300
Male-65 years and older,28620
Male-55-64 years,10086
Male-45-54 years,5531
Male-20-44 years,11404
Male-Less than 20 years,3355
Female-65 years and older,34538
Female-55-64 years,12700
Female-45-54 years,6581
Female-20-44 years,11559
Female-Less than 20 years,3707
"Black or African American, non-Hispanic",659
"American Indian or Alaska Native, non-Hispanic",1556
"Asian or Pacific Islander, non-Hispanic",1672
Hispanic or Latino,9351
Unknown,19000
Other Race,19089
"White, non-Hispanic",77973
