Category,Gila
Total_doses_administered,61598
Total_people_one_dose,27418
Total_people_complete,24130
total_pouluation,27418
Male-65 years and older,6010
Male-55-64 years,2261
Male-45-54 years,1296
Male-20-44 years,2607
Male-Less than 20 years,946
Female-65 years and older,6382
Female-55-64 years,2663
Female-45-54 years,1444
Female-20-44 years,2767
Female-Less than 20 years,987
"Black or African American, non-Hispanic",98
"Asian or Pacific Islander, non-Hispanic",226
Hispanic or Latino,1606
"American Indian or Alaska Native, non-Hispanic",2992
Other Race,4424
Unknown,4524
"White, non-Hispanic",13548
