Category,Mohave
Total_doses_administered,204719
Total_people_one_dose,95306
Total_people_complete,80836
total_pouluation,95306
Male-65 years and older,22005
Male-55-64 years,8591
Male-45-54 years,4527
Male-20-44 years,8117
Male-Less than 20 years,2110
Female-65 years and older,24021
Female-55-64 years,9952
Female-45-54 years,5066
Female-20-44 years,8401
Female-Less than 20 years,2334
"Black or African American, non-Hispanic",679
"American Indian or Alaska Native, non-Hispanic",799
"Asian or Pacific Islander, non-Hispanic",1484
Hispanic or Latino,7982
Unknown,11725
Other Race,14904
"White, non-Hispanic",57733
