Category,Cochise
Total_doses_administered,193989
Total_people_one_dose,91866
Total_people_complete,76386
total_pouluation,91866
Male-65 years and older,12086
Male-55-64 years,6037
Male-45-54 years,4857
Male-20-44 years,13135
Male-Less than 20 years,7365
Female-65 years and older,14112
Female-55-64 years,7128
Female-45-54 years,5456
Female-20-44 years,13921
Female-Less than 20 years,7662
"American Indian or Alaska Native, non-Hispanic",394
"Asian or Pacific Islander, non-Hispanic",1600
"Black or African American, non-Hispanic",1723
Unknown,11167
Other Race,12734
Hispanic or Latino,28878
"White, non-Hispanic",35370
