Category,Maricopa
Total_doses_administered,6372010
Total_people_one_dose,2847048
Total_people_complete,2515404
total_pouluation,2847048
Male-65 years and older,300381
Male-55-64 years,198206
Male-45-54 years,194094
Male-20-44 years,470227
Male-Less than 20 years,180007
Female-65 years and older,374622
Female-55-64 years,222072
Female-45-54 years,209661
Female-20-44 years,502330
Female-Less than 20 years,181237
"American Indian or Alaska Native, non-Hispanic",56073
"Black or African American, non-Hispanic",113195
"Asian or Pacific Islander, non-Hispanic",145372
Unknown,192914
Other Race,446215
Hispanic or Latino,503374
"White, non-Hispanic",1389905
