Category,Yavapai
Total_doses_administered,124453
Total_people_one_dose,77643
Total_people_complete,50724
Total_doses_ordered,135400
total_pouluation,232386
Male-65 years and older,20307
Male-55-64 years,5615
Male-45-54 years,2735
Male-20-44 years,4841
Male-Less than 20 years,474
Female-65 years and older,25287
Female-55-64 years,7662
Female-45-54 years,3560
Female-20-44 years,5549
Female-Less than 20 years,459
"Black or African American, non-Hispanic",0.0037736821091406
"American Indian or Alaska Native, non-Hispanic",0.0094535244645364
"Asian or Pacific Islander, non-Hispanic",0.0104838813544041
Hispanic or Latino,0.0427082930850173
"Other Race, non-Hispanic",0.1614440451811496
"Unknown, non-Hispanic",0.2873021392784926
"White, non-Hispanic",0.4848344345272594
