,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3888107,1111945,13944,65148,103434,34993,12510,7381,11969,1423348,78375,36168,524452,164820,31307,124453,105169
Total_people_one_dose,2453339,715264,8167,41973,61231,21106,7769,4223,7717,900361,52665,22952,339402,102917,20632,77643,70115
Total_people_complete,1572835,,,,,,,,,,,,,,,,
Total_doses_ordered,3629070,,,,,,,,,,,,,,,,
65 years and older,540556,,,,,,,,,,,,,,,,
55-64 years,257992,,,,,,,,,,,,,,,,
45-54 years,170015,,,,,,,,,,,,,,,,
20-44 years,351936,,,,,,,,,,,,,,,,
Less than 20 years,32167,,,,,,,,,,,,,,,,
65 years and older,7717,,,,,,,,,,,,,,,,
55-64 years,209299,,,,,,,,,,,,,,,,
45-54 years,138984,,,,,,,,,,,,,,,,
20-44 years,286791,,,,,,,,,,,,,,,,
Less than 20 years,26350,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",48646,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",60266,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",81437,,,,,,,,,,,,,,,,
Hispanic or Latino,277246,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",367987,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",430576,,,,,,,,,,,,,,,,
"White, non-Hispanic",1187248,,,,,,,,,,,,,,,,
