Category,Apache
Total_doses_administered,31771
Total_people_one_dose,17853
Total_people_complete,11628
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1908
Male-55-64 years,1266
Male-45-54 years,975
Male-20-44 years,2317
Male-Less than 20 years,2403
Female-65 years and older,2017
Female-55-64 years,1388
Female-45-54 years,962
Female-20-44 years,2114
Female-Less than 20 years,2493
"Asian or Pacific Islander, non-Hispanic",162
"Black or African American, non-Hispanic",270
Unknown,992
Other Race,1194
Hispanic or Latino,1736
"White, non-Hispanic",3114
"American Indian or Alaska Native, non-Hispanic",10385
