Category,Pima
Total_doses_administered,927620
Total_people_one_dose,522948
Total_people_complete,462551
Total_doses_ordered,615438
total_pouluation,1044675
Male-65 years and older,72449
Male-55-64 years,36363
Male-45-54 years,31220
Male-20-44 years,76027
Male-Less than 20 years,19742
Female-65 years and older,95508
Female-55-64 years,45054
Female-45-54 years,36988
Female-20-44 years,87681
Female-Less than 20 years,20981
"Black or African American, non-Hispanic",10107
"American Indian or Alaska Native, non-Hispanic",10860
"Asian or Pacific Islander, non-Hispanic",13247
Other Race,65949
Unknown,83966
Hispanic or Latino,122236
"White, non-Hispanic",216583
