Category,Yavapai
Total_doses_administered,187194
Total_people_one_dose,107395
Total_people_complete,89966
Total_doses_ordered,166680
total_pouluation,232386
Male-65 years and older,23798
Male-55-64 years,8408
Male-45-54 years,4832
Male-20-44 years,9366
Male-Less than 20 years,1891
Female-65 years and older,29735
Female-55-64 years,10776
Female-45-54 years,5627
Female-20-44 years,9519
Female-Less than 20 years,2133
"Black or African American, non-Hispanic",539
"American Indian or Alaska Native, non-Hispanic",1061
"Asian or Pacific Islander, non-Hispanic",1403
Hispanic or Latino,6595
Other Race,16434
Unknown,27186
"White, non-Hispanic",54177
