Category,Pinal
Total_doses_administered,307204
Total_people_one_dose,175964
Total_people_complete,154783
Total_doses_ordered,196918
total_pouluation,455210
Male-65 years and older,29744
Male-55-64 years,13613
Male-45-54 years,12500
Male-20-44 years,28165
Male-Less than 20 years,5246
Female-65 years and older,34103
Female-55-64 years,14543
Female-45-54 years,11246
Female-20-44 years,20867
Female-Less than 20 years,5345
"Asian or Pacific Islander, non-Hispanic",3195
"Black or African American, non-Hispanic",4962
"American Indian or Alaska Native, non-Hispanic",8472
Other Race,18751
Hispanic or Latino,27579
Unknown,35594
"White, non-Hispanic",77411
