Category,Coconino
Total_doses_administered,148820
Total_people_one_dose,81852
Total_people_complete,73395
Total_doses_ordered,97568
total_pouluation,147275
Male-65 years and older,7654
Male-55-64 years,5970
Male-45-54 years,5389
Male-20-44 years,16213
Male-Less than 20 years,3070
Female-65 years and older,8753
Female-55-64 years,6704
Female-45-54 years,5531
Female-20-44 years,18686
Female-Less than 20 years,3802
"Black or African American, non-Hispanic",585
"Asian or Pacific Islander, non-Hispanic",1212
Hispanic or Latino,5682
Other Race,9458
Unknown,16894
"American Indian or Alaska Native, non-Hispanic",17093
"White, non-Hispanic",30928
