Category,Cochise
Total_doses_administered,118721
Total_people_one_dose,66949
Total_people_complete,58608
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10660
Male-55-64 years,5150
Male-45-54 years,3724
Male-20-44 years,9556
Male-Less than 20 years,2521
Female-65 years and older,12605
Female-55-64 years,6180
Female-45-54 years,4298
Female-20-44 years,9556
Female-Less than 20 years,2607
"American Indian or Alaska Native, non-Hispanic",316
"Black or African American, non-Hispanic",1241
"Asian or Pacific Islander, non-Hispanic",1286
Unknown,8955
Other Race,10168
Hispanic or Latino,16196
"White, non-Hispanic",28787
