Category,Navajo
Total_doses_administered,74415
Total_people_one_dose,41840
Total_people_complete,35844
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6771
Male-55-64 years,3504
Male-45-54 years,2462
Male-20-44 years,5208
Male-Less than 20 years,2770
Female-65 years and older,7449
Female-55-64 years,3751
Female-45-54 years,2492
Female-20-44 years,4526
Female-Less than 20 years,2873
"Black or African American, non-Hispanic",214
"Asian or Pacific Islander, non-Hispanic",401
Unknown,2108
Hispanic or Latino,2177
Other Race,8069
"White, non-Hispanic",14007
"American Indian or Alaska Native, non-Hispanic",14864
