Category,Cochise
Total_doses_administered,145555
Total_people_one_dose,75533
Total_people_complete,64956
total_pouluation,75533
Male-65 years and older,10804
Male-55-64 years,5252
Male-45-54 years,4101
Male-20-44 years,11068
Male-Less than 20 years,4326
Female-65 years and older,12767
Female-55-64 years,6299
Female-45-54 years,4615
Female-20-44 years,11623
Female-Less than 20 years,4579
"American Indian or Alaska Native, non-Hispanic",336
"Asian or Pacific Islander, non-Hispanic",1396
"Black or African American, non-Hispanic",1489
Unknown,8745
Other Race,11471
Hispanic or Latino,20104
"White, non-Hispanic",31992
