Category,Navajo
Total_doses_administered,89773
Total_people_one_dose,46189
Total_people_complete,38882
total_pouluation,46189
Male-65 years and older,7090
Male-55-64 years,3436
Male-45-54 years,2555
Male-20-44 years,5481
Male-Less than 20 years,3845
Female-65 years and older,7966
Female-55-64 years,3961
Female-45-54 years,2566
Female-20-44 years,5327
Female-Less than 20 years,3927
"Black or African American, non-Hispanic",193
"Asian or Pacific Islander, non-Hispanic",338
Unknown,2079
Hispanic or Latino,2345
Other Race,6107
"White, non-Hispanic",15565
"American Indian or Alaska Native, non-Hispanic",19562
