Category,Mohave
Total_doses_administered,168596
Total_people_one_dose,86645
Total_people_complete,74392
total_pouluation,86645
Male-65 years and older,20063
Male-55-64 years,7943
Male-45-54 years,4137
Male-20-44 years,7171
Male-Less than 20 years,1609
Female-65 years and older,22411
Female-55-64 years,9323
Female-45-54 years,4679
Female-20-44 years,7303
Female-Less than 20 years,1832
"Black or African American, non-Hispanic",580
"American Indian or Alaska Native, non-Hispanic",684
"Asian or Pacific Islander, non-Hispanic",1286
Hispanic or Latino,6744
Unknown,11282
Other Race,13989
"White, non-Hispanic",52080
