Category,Yavapai
Total_doses_administered,224124
Total_people_one_dose,113200
Total_people_complete,96272
total_pouluation,113200
Male-65 years and older,25048
Male-55-64 years,8909
Male-45-54 years,4873
Male-20-44 years,9827
Male-Less than 20 years,2564
Female-65 years and older,30826
Female-55-64 years,11311
Female-45-54 years,5816
Female-20-44 years,10015
Female-Less than 20 years,2863
"Black or African American, non-Hispanic",519
"Asian or Pacific Islander, non-Hispanic",1340
"American Indian or Alaska Native, non-Hispanic",1368
Hispanic or Latino,7634
Other Race,16673
Unknown,19470
"White, non-Hispanic",66196
